"Gene","log2FC_disease","log2FC_treated","neglog10_disease","neglog10_treated","rescue_metric","rescue_status"
"Ran",4.257092782,-0.242270742,2.159558536,0.150495867,5.69099041074176,"Not rescued"
"Serpina1e",4.12058035,-0.051648957,1.443350303,0.012728038,1.25343889969286,"Not rescued"
"Hnrnpf",3.658115983,-0.130575963,2.493245643,0.060204625,3.56948668677573,"Not rescued"
"Enpp4",3.295847254,-1.307187523,2.613374138,0.805272312,39.6616536586619,"Partially rescued"
"Gcat",2.832077691,0.151302338,1.933678862,0.071883261,-5.34245011995329,"Worsened"
"Ca1",2.531051431,-0.881598234,1.700723782,0.427399469,34.8313046191909,"Partially rescued"
"Umod",2.464687901,-2.210165535,1.409471027,1.70406873,89.6732415533532,"Rescued"
"Dock5",2.242439491,-0.594287464,1.313344169,0.411474615,26.5018283162228,"Not rescued"
"Bzw2",2.238418937,-0.217167854,2.302595248,0.565111349,9.7018413492809,"Not rescued"
"Pigk",2.136028409,-0.007125889,1.370448974,0.003434347,0.333604598608131,"Not rescued"
"Acaa1a",2.059870422,-0.063976152,1.318334854,0.031896043,3.10583380957931,"Not rescued"
"Pfdn5",2.037478805,-0.097081184,1.317997408,0.14129055,4.76477025241988,"Not rescued"
"Exoc4",2.013414076,-0.50108896,1.467071528,0.401962815,24.8875264146112,"Not rescued"
"Slc25a35",1.989904233,0.251721246,3.231052999,0.253488299,-12.6499176103818,"Worsened"
"Fam241b",1.980626251,-1.028597593,1.401583494,0.690597892,51.9329475957754,"Partially rescued"
"Ndufab1",1.924814795,-0.498451097,2.491624248,0.982328711,25.8960549500556,"Not rescued"
"Card19",1.864923545,-0.087976319,1.332350192,0.328476155,4.71742228982368,"Not rescued"
"Syn2",1.819238773,-0.129433087,1.559972718,0.13060286,7.11468384034931,"Not rescued"
"Gsdme",1.7580614,-0.367143699,1.910288752,0.359638944,20.8834400778039,"Not rescued"
"Ptk2",1.750761994,0.095360483,1.554505384,0.428441234,-5.44679878400422,"Worsened"
"Mrpl46",1.739219708,-0.644530058,1.903042549,0.553995895,37.0585760404688,"Partially rescued"
"Podxl",1.729879498,0.056923049,2.183074521,0.173519852,-3.29057885626205,"Worsened"
"Lrrc20",1.697062884,-0.498949051,1.406852811,0.466786833,29.4007402851196,"Not rescued"
"Exosc10",1.685850365,0.5431133,1.339844158,1.272107048,-32.2159849578346,"Worsened"
"Plscr4",1.68161514,0.023623296,1.52756331,0.010844028,-1.40479800865732,"Worsened"
"Dap3",1.557710631,0.23643027,1.719718748,0.238916326,-15.1780610143374,"Worsened"
"Shroom2",1.545100425,-0.234089851,1.477562459,1.022773658,15.150461886644,"Not rescued"
"Hba",1.542051826,-0.350766999,2.113868474,0.504700475,22.7467710932823,"Not rescued"
"Abhd16a",1.540919159,-0.269753456,1.505136505,0.531714913,17.5060096063093,"Not rescued"
"Eif4e3",1.511015483,-0.320838928,1.452209503,0.193221602,21.2333315978338,"Not rescued"
"Pef1",1.506247972,0.206442016,1.535958944,0.288274362,-13.7057124615335,"Worsened"
"Eepd1",1.487216881,-0.651677881,1.713126523,1.458023594,43.8186178038682,"Partially rescued"
"Ankrd46",1.467640851,-0.812478542,1.363530991,0.575236676,55.3594935332036,"Partially rescued"
"Eif5b",1.435400171,0.190486159,2.109603645,0.170693827,-13.270596092189,"Worsened"
"Pf4",1.414728378,0.370702199,1.327333059,0.303207079,-26.2030651794842,"Worsened"
"G3bp2",1.414433394,-0.076987539,1.924731177,0.155863195,5.44299500609783,"Not rescued"
"Rpl31",1.377485139,-0.283257042,1.641994487,0.212513743,20.5633464913918,"Not rescued"
"Srp9",1.377063964,0.152225528,1.514560411,0.269430376,-11.0543541897521,"Worsened"
"Ntng1",1.328168247,-0.05780799,1.496315484,0.050273219,4.3524598732558,"Not rescued"
"Bpgm",1.288829378,-0.313188689,2.035646478,0.59072738,24.3002444191647,"Not rescued"
"Birc6",1.257851601,-0.356213042,1.306890434,0.562743505,28.3191627467667,"Not rescued"
"Ghitm",1.191155025,0.128435816,1.451647411,0.41395594,-10.7824601587858,"Worsened"
"Snu13",1.14329539,-0.246731486,1.4583051,0.411957642,21.5807295435697,"Not rescued"
"Creld1",1.12882156,-0.090275492,1.438175387,0.214597837,7.9973217379016,"Not rescued"
"Sf3a3",1.072923277,0.272495678,1.40319709,0.695535333,-25.3974989490325,"Worsened"
"Fahd2",1.018146821,-0.17485823,2.228826435,0.74487104,17.1741664751512,"Not rescued"
"Pold3",1.014740748,0.106872184,1.464025399,0.128801137,-10.5319692946833,"Worsened"
"Cd99",0.997695395,-0.747480971,1.556696167,0.917159462,74.920759857772,"Partially rescued"
"Madd",0.991635425,-0.264581885,2.042256319,0.418840597,26.681366793648,"Not rescued"
"Itpr1",0.947064647,-1.248298066,1.429815387,2.509542304,131.807059840552,"over-rescued"
"Timm8b",0.932361288,-0.332329444,1.322891091,0.503212645,35.6438483962453,"Partially rescued"
"Fbxl20",0.921787952,0.248970168,1.347042653,1.046389097,-27.009483847105,"Worsened"
"Sorbs2",0.856893233,0.677533967,1.499511804,1.433804904,-79.0686565032076,"Worsened"
"Dhodh",0.85229218,-0.276364667,1.930313997,0.402785667,32.426047485265,"Partially rescued"
"Igkv2-109",0.828906638,-0.79991981,1.530855979,0.965758818,96.5030044794984,"Rescued"
"Isca2",0.809250253,-0.084677151,2.368973946,0.211076992,10.463654560019,"Not rescued"
"Cybc1",0.792708363,0.031247684,1.38196461,0.044358168,-3.94188902987516,"Worsened"
"Hbb-bs",0.771553142,-0.383009366,1.439726683,0.421212925,49.6413461562963,"Partially rescued"
"Sod1",0.771164111,-0.125341552,1.685309059,0.223681677,16.2535509902639,"Not rescued"
"Ublcp1",0.699799367,-0.161444664,2.686523057,0.316615479,23.070135757925,"Not rescued"
"Cyp4b1",0.690106562,0.330931834,1.324532618,0.344117246,-47.953729499532,"Worsened"
"Ufd1",0.685408626,-0.101931572,1.354913467,0.34363691,14.8716500104275,"Not rescued"
"Jchain",0.639486415,-1.100029094,2.708906365,1.795057175,172.017586018618,"over-rescued"
"S100a4",0.606026479,-0.165696962,1.561620794,0.590991178,27.3415383224534,"Not rescued"
"Ank1",0.576436417,-0.233437266,1.32619553,0.688179498,40.4966201155192,"Partially rescued"
"Tpd52l2",0.573123353,0.215512821,2.045095427,0.952875043,-37.603217504906,"Worsened"
"Snrpd2",0.552703687,0.011367389,2.862340351,0.027413901,-2.05668774559848,"Worsened"
"Pmpcb",0.547830684,-0.129240172,1.448374936,0.410222825,23.5912620038639,"Not rescued"
"Cul1",0.544718845,-0.054940769,1.505670432,0.16556543,10.0860782593266,"Not rescued"
"Apod",0.534067937,0.157580921,1.442110897,0.394321674,-29.505781958223,"Worsened"
"Rps9",0.522645099,0.03687627,1.312808143,0.121350129,-7.05569995213904,"Worsened"
"Rbsn",0.519203748,-0.000835351,1.559253886,0.00140322,0.160890787714418,"Not rescued"
"Rock1",0.505862977,0.141384533,1.70721425,0.384341595,-27.9491758496491,"Worsened"
"Cmbl",0.503417798,0.054532596,1.831440777,0.222980803,-10.8324727923108,"Worsened"
"Krt19",-0.53844973,0.135930981,1.387296689,0.187861241,25.2448786630462,"Not rescued"
"Tmod3",-0.539913757,0.279760769,1.385451346,1.246371074,51.8158252818885,"Partially rescued"
"Tbc1d5",-0.557257414,0.162509782,1.333969869,0.385501065,29.1624261817358,"Not rescued"
"Fbn1",-0.563057116,-0.102627754,2.801667025,0.341175994,-18.2268816224321,"Worsened"
"Ces1c",-0.567342724,0.045626095,3.015207206,0.107495633,8.04206929425608,"Not rescued"
"Kng2",-0.573310886,0.047665868,2.712996682,0.107526232,8.31413970395112,"Not rescued"
"C3",-0.580391986,-0.126983779,2.051459204,0.288200497,-21.8789683632882,"Worsened"
"Zbtb20",-0.612962016,0.167105573,1.549862587,0.30023602,27.2619784975387,"Not rescued"
"Agt",-0.643573454,0.21294008,1.386350929,0.470858089,33.0871447037652,"Partially rescued"
"Serping1",-0.643629653,0.190819195,1.994084453,1.75276763,29.6473591778407,"Not rescued"
"Egr2",-0.644637406,0.484691279,2.071281965,1.547585793,75.1882026219248,"Partially rescued"
"F11r",-0.646595035,0.071731704,2.221541139,0.212509037,11.0937604090944,"Not rescued"
"Col6a5",-0.646970374,0.543440546,1.751257774,1.51561223,83.9977482492885,"Rescued"
"Map2",-0.656173876,0.328310694,1.366985829,0.577021065,50.0341001079415,"Partially rescued"
"Hgfac",-0.660054718,0.014931679,3.124455922,0.033567121,2.26218805696046,"Not rescued"
"Znf512",-0.673948288,0.242325544,2.323009874,0.345989477,35.9561035044873,"Partially rescued"
"Aspn",-0.679152318,0.524438177,1.357485464,1.47499208,77.2195224989278,"Partially rescued"
"Serpina6",-0.685584034,-0.006424359,1.382568461,0.008472747,-0.937063683137062,"Worsened"
"Prrg3",-0.702858857,-0.172012193,1.619651596,0.210354974,-24.4732198060641,"Worsened"
"Fga",-0.705913986,0.101050104,3.779204788,0.40601248,14.3147899041626,"Not rescued"
"Fap",-0.722108739,0.250362805,1.967138602,0.392048932,34.6710670399462,"Partially rescued"
"Ptgis",-0.841725111,0.199609348,2.50770327,0.431758306,23.7143154447248,"Not rescued"
"Pakap",-0.847795316,0.432349477,1.852548305,1.005555685,50.9969173974535,"Partially rescued"
"Col6a6",-0.906346423,0.341665132,2.426425285,0.974792811,37.6969692084281,"Partially rescued"
"Gla",-0.92817034,0.33520845,1.668502135,0.78066801,36.1149710946377,"Partially rescued"
"Ccar2",-0.938910655,0.718660082,1.384939633,1.277563608,76.5419029140744,"Partially rescued"
"Tmtc3",-0.983457429,0.208970887,1.611609218,0.219770326,21.2485950929758,"Not rescued"
"C1qtnf5",-0.984475817,-0.210552454,1.335709178,0.13840684,-21.3872652191313,"Worsened"
"Tmt1b",-1.006928001,0.588878495,2.809155932,1.821851152,58.4826814246076,"Partially rescued"
"Gas6",-1.096086161,0.567373208,1.626881861,0.857912956,51.7635591240715,"Partially rescued"
"Raver1",-1.539081284,1.629731383,1.484631404,1.523714095,105.889883786021,"Rescued"
"Lpcat3",-1.621692964,0.333282369,1.455096823,0.248829422,20.5515086023398,"Not rescued"
"Sec62",-1.643823862,-0.089898825,4.174045569,0.124443719,-5.46888429339517,"Worsened"
"Amz2",-1.751633874,0.429776055,1.5767118,0.261888948,24.5357241247322,"Not rescued"
"Ear6",-1.765978711,0.74859987,1.526462458,0.423416692,42.3900846220337,"Partially rescued"
"Fkbp11",-1.921071359,0.13311209,1.699861765,0.09337654,6.92905494511618,"Not rescued"
"H3c11",-2.632967915,0.328531708,1.369650206,0.218868005,12.4776191205505,"Not rescued"
"Sbf2",-2.815030677,0.149104663,5.785280445,0.306111942,5.29673314817663,"Not rescued"
"Mtmr2",-3.593763999,0.378920385,4.284536115,0.603659743,10.5438305104464,"Not rescued"
